name,sci_name,state,county,points,link,img,lat,long
Hawthorn Castlegar,Crataegus castlegarensis,MT,Flathead,91,https://www.americanforests.org?page_id=56384,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,48.3840879,-113.972144
Persimmon Texas,Diospyros texana,TX,Refugio,91,https://www.americanforests.org?page_id=84962,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=7648,28.3171012,-97.2394101
Oak Dwarf chinkapin,Quercus prinoides,NY,Monroe,91,https://www.americanforests.org?page_id=64601,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=5826,43.150094,-77.6810141
Ash Singleleaf,Fraxinus anomala var. anomala,CO,Mesa,90,https://www.americanforests.org?page_id=55521,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=7671,39.0589084,-108.565996
Sumac Shining,Rhus copallinum,MS,Pontotoc,90,https://www.americanforests.org?page_id=55928,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=1364,34.2114655,-89.0382651
Franklin-tree ,Franklinia alatamaha,NY,Kings,89,https://www.americanforests.org?page_id=64531,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=4307,40.64530975,-73.9550230275334
Huajillo Huajillo,Havardia pallens,TX,Hidalgo,88,https://www.americanforests.org?page_id=55504,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,26.3530256,-98.216445
Oak Georgia,Quercus georgiana,GA,Clarke,88,https://www.americanforests.org?page_id=84956,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=7914,41.0152092,-93.7842976
Holly Tawnberry,Ilex krugiana,FL,Miami-Dade,88,https://www.americanforests.org?page_id=55498,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,25.6364246,-80.4989467
Serviceberry Western,Amelanchier alnifolia,OR,Clackamas,87,https://www.americanforests.org?page_id=55407,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,45.1608821,-122.2305038
Soldierwood ,Colubrina elliptica,FL,Monroe,87,https://www.americanforests.org?page_id=85018,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,25.0405135,-80.8337157
Parasoltree Chinese,Firmiana simplex,VA,Norfolk,87,https://www.americanforests.org?page_id=56392,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,42.1538607,-71.1828015
